person,car,kite,surfboard,,,,,,,,,,,,,,
cat,toilet,,,,,,,,,,,,,,,,
person,bottle,wine glass,fork,spoon,bowl,pizza,dining table,,,,,,,,,,
person,cup,knife,sandwich,chair,dining table,,,,,,,,,,,,
person,car,truck,traffic light,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,
person,sports ball,baseball glove,,,,,,,,,,,,,,,
bird,,,,,,,,,,,,,,,,,
person,bicycle,motorcycle,chair,,,,,,,,,,,,,,
person,sports ball,tennis racket,cup,,,,,,,,,,,,,,
clock,,,,,,,,,,,,,,,,,
train,,,,,,,,,,,,,,,,,
person,bottle,bowl,toothbrush,,,,,,,,,,,,,,
backpack,bottle,chair,couch,laptop,book,,,,,,,,,,,,
person,tie,cup,chair,laptop,,,,,,,,,,,,,
person,boat,umbrella,,,,,,,,,,,,,,,
person,knife,bowl,microwave,,,,,,,,,,,,,,
person,wine glass,cell phone,,,,,,,,,,,,,,,
chair,bed,tv,laptop,book,,,,,,,,,,,,,
person,baseball bat,baseball glove,chair,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,
person,tennis racket,,,,,,,,,,,,,,,,
car,fire hydrant,,,,,,,,,,,,,,,,
person,tennis racket,chair,,,,,,,,,,,,,,,
cat,tv,,,,,,,,,,,,,,,,
train,traffic light,,,,,,,,,,,,,,,,
car,bus,,,,,,,,,,,,,,,,
person,bowl,donut,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,
clock,,,,,,,,,,,,,,,,,
person,tennis racket,,,,,,,,,,,,,,,,
bench,clock,,,,,,,,,,,,,,,,
person,car,horse,,,,,,,,,,,,,,,
handbag,suitcase,,,,,,,,,,,,,,,,
person,horse,,,,,,,,,,,,,,,,
tv,laptop,book,,,,,,,,,,,,,,,
fork,bowl,broccoli,,,,,,,,,,,,,,,
person,toothbrush,,,,,,,,,,,,,,,,
zebra,,,,,,,,,,,,,,,,,
boat,dog,,,,,,,,,,,,,,,,
bus,,,,,,,,,,,,,,,,,
person,toothbrush,,,,,,,,,,,,,,,,
person,dog,surfboard,,,,,,,,,,,,,,,
fork,cake,,,,,,,,,,,,,,,,
zebra,,,,,,,,,,,,,,,,,
stop sign,,,,,,,,,,,,,,,,,
person,umbrella,chair,,,,,,,,,,,,,,,
banana,chair,,,,,,,,,,,,,,,,
toilet,sink,,,,,,,,,,,,,,,,
dog,horse,,,,,,,,,,,,,,,,
person,backpack,cell phone,,,,,,,,,,,,,,,
sandwich,broccoli,carrot,,,,,,,,,,,,,,,
person,cell phone,,,,,,,,,,,,,,,,
person,tie,bottle,wine glass,cup,chair,dining table,,,,,,,,,,,
person,surfboard,,,,,,,,,,,,,,,,
car,truck,cat,,,,,,,,,,,,,,,
traffic light,,,,,,,,,,,,,,,,,
car,truck,,,,,,,,,,,,,,,,
person,cow,tv,clock,,,,,,,,,,,,,,
car,train,,,,,,,,,,,,,,,,
person,train,,,,,,,,,,,,,,,,
person,handbag,laptop,mouse,keyboard,,,,,,,,,,,,,
person,tennis racket,,,,,,,,,,,,,,,,
person,apple,,,,,,,,,,,,,,,,
person,car,skateboard,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,
person,wine glass,cup,fork,spoon,carrot,chair,dining table,,,,,,,,,,
banana,dining table,,,,,,,,,,,,,,,,
person,cup,chair,cell phone,,,,,,,,,,,,,,
person,car,bus,handbag,,,,,,,,,,,,,,
toilet,,,,,,,,,,,,,,,,,
cup,bowl,donut,dining table,,,,,,,,,,,,,,
person,chair,potted plant,tv,book,clock,vase,,,,,,,,,,,
person,boat,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,
person,sports ball,tennis racket,,,,,,,,,,,,,,,
dog,,,,,,,,,,,,,,,,,
bed,,,,,,,,,,,,,,,,,
person,tie,,,,,,,,,,,,,,,,
cat,bowl,,,,,,,,,,,,,,,,
person,horse,,,,,,,,,,,,,,,,
airplane,truck,,,,,,,,,,,,,,,,
cup,laptop,mouse,keyboard,book,,,,,,,,,,,,,
person,car,bench,skateboard,,,,,,,,,,,,,,
bird,zebra,,,,,,,,,,,,,,,,
person,bird,surfboard,,,,,,,,,,,,,,,
person,baseball glove,,,,,,,,,,,,,,,,
person,baseball glove,,,,,,,,,,,,,,,,
bird,chair,,,,,,,,,,,,,,,,
person,umbrella,handbag,,,,,,,,,,,,,,,
person,car,tie,sports ball,,,,,,,,,,,,,,
person,horse,,,,,,,,,,,,,,,,
cat,bed,,,,,,,,,,,,,,,,
cup,knife,carrot,,,,,,,,,,,,,,,
train,boat,,,,,,,,,,,,,,,,
sink,,,,,,,,,,,,,,,,,
truck,,,,,,,,,,,,,,,,,
person,car,truck,bench,backpack,sports ball,,,,,,,,,,,,
cat,chair,,,,,,,,,,,,,,,,
chair,teddy bear,,,,,,,,,,,,,,,,
person,sports ball,baseball bat,baseball glove,,,,,,,,,,,,,,
person,car,traffic light,bottle,sandwich,hot dog,,,,,,,,,,,,
cat,,,,,,,,,,,,,,,,,
bird,,,,,,,,,,,,,,,,,
teddy bear,,,,,,,,,,,,,,,,,
elephant,,,,,,,,,,,,,,,,,
person,surfboard,,,,,,,,,,,,,,,,
car,clock,,,,,,,,,,,,,,,,
person,knife,cake,chair,dining table,,,,,,,,,,,,,
bear,,,,,,,,,,,,,,,,,
person,horse,,,,,,,,,,,,,,,,
truck,,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,
person,kite,,,,,,,,,,,,,,,,
person,toilet,,,,,,,,,,,,,,,,
dog,elephant,,,,,,,,,,,,,,,,
sink,,,,,,,,,,,,,,,,,
person,traffic light,dog,,,,,,,,,,,,,,,
person,sports ball,tennis racket,,,,,,,,,,,,,,,
cake,,,,,,,,,,,,,,,,,
person,bus,,,,,,,,,,,,,,,,
zebra,,,,,,,,,,,,,,,,,
person,car,bed,,,,,,,,,,,,,,,
