kite,person,surfboard
toilet,cat,
dining table,pizza,bowl
dining table,cup,sandwich
truck,car,person
giraffe,,
person,baseball glove,sports ball
bird,,
person,motorcycle,chair
person,tennis racket,sports ball
clock,,
train,,
person,bottle,bowl
couch,chair,book
person,chair,laptop
person,umbrella,boat
person,microwave,bowl
person,cell phone,wine glass
tv,laptop,bed
person,chair,baseball bat
giraffe,,
person,tennis racket,
fire hydrant,car,
person,chair,tennis racket
tv,cat,
train,traffic light,
bus,car,
donut,person,bowl
giraffe,,
clock,,
person,tennis racket,
bench,clock,
horse,person,car
suitcase,handbag,
horse,person,
tv,laptop,book
bowl,broccoli,fork
person,toothbrush,
zebra,,
boat,dog,
bus,,
person,toothbrush,
dog,person,surfboard
cake,fork,
zebra,,
stop sign,,
chair,umbrella,person
banana,chair,
toilet,sink,
horse,dog,
person,backpack,cell phone
sandwich,carrot,broccoli
person,cell phone,
person,chair,tie
person,surfboard,
truck,car,cat
traffic light,,
truck,car,
cow,tv,person
train,car,
train,person,
person,laptop,keyboard
person,tennis racket,
person,apple,
car,person,skateboard
giraffe,,
dining table,person,cup
dining table,banana,
person,cell phone,chair
bus,person,handbag
toilet,,
bowl,dining table,donut
tv,chair,book
boat,person,
giraffe,,
person,tennis racket,sports ball
dog,,
bed,,
person,tie,
cat,bowl,
horse,person,
airplane,truck,
laptop,keyboard,book
person,bench,skateboard
zebra,bird,
person,surfboard,bird
person,baseball glove,
person,baseball glove,
chair,bird,
person,umbrella,handbag
person,car,sports ball
horse,person,
bed,cat,
carrot,cup,knife
boat,train,
sink,,
truck,,
person,truck,car
chair,cat,
chair,teddy bear,
person,baseball glove,baseball bat
person,car,bottle
cat,,
bird,,
teddy bear,,
elephant,,
surfboard,person,
clock,car,
person,dining table,chair
bear,,
horse,person,
truck,,
giraffe,,
kite,person,
person,toilet,
elephant,dog,
sink,,
person,traffic light,dog
person,sports ball,tennis racket
cake,,
bus,person,
zebra,,
car,bed,person
sheep,,
teddy bear,tie,
cake,,
laptop,wine glass,
person,cake,
bench,person,skateboard
person,tie,
person,skateboard,
scissors,,
elephant,,
parking meter,airplane,
person,tie,chair
parking meter,car,traffic light
person,bed,cell phone
dog,person,skateboard
clock,,
refrigerator,oven,microwave
bird,,
person,baseball glove,sports ball
toilet,sink,book
person,skateboard,
giraffe,,
clock,,
bird,,
truck,car,motorcycle
sink,bottle,
person,snowboard,
train,,
sandwich,keyboard,
bench,person,laptop
cow,person,
surfboard,handbag,chair
person,surfboard,
refrigerator,bottle,bowl
pizza,,
bench,chair,
person,skis,
bed,person,book
bird,horse,person
train,,
elephant,,
potted plant,bench,teddy bear
airplane,,
horse,,
person,surfboard,
person,bicycle,kite
sink,,
person,chair,tennis racket
truck,person,
person,apple,orange
surfboard,person,
person,chair,tennis racket
cow,,
